"","X1.18","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,0.102950978350991,0.169265447825998,0.0865759431299516,-0.196231238200574,0.583276027359818,0.925932915030032,-0.280954692353774,0.265545457690187,0.267137152209,0.148566849121849,-0.43141139153348,-0.128712756231151
"2",2,0.371180657048255,0.146826407168719,0.316839204551195,-0.150914657779613,0.973651895224368,0.0973011717326462,0.0684622364240377,0.350554164070939,0.127527032891927,0.0995360468010397,0.139529147673957,-0.259231721072602
"3",3,-0.171867051389635,0.246701142327819,0.174576416789409,0.331489247586773,0.117106124962108,0.138006900956128,2.26546759393808,0.0590582846644263,0.508736009461189,0.21059264931127,0.215473937991096,0.231240226313341
"4",4,-0.0283533643901933,0.0789691723424205,0.255787355983134,-0.0531970614333189,-0.163373436898317,0.149266380472728,-0.548836020054275,0.60770531430508,0.0692304331860114,-0.211554232223349,-0.212419697797003,0.20498316863894
"5",5,0.16472817916393,-0.155375369174908,-0.193839749991359,-0.00943615241824637,-0.0129968745246691,0.281370050838787,1.81713787794785,0.4837445057976,0.65301950289736,-0.0887910984611703,-0.0398730485434689,0.1367833830176
"6",6,-0.258101154587519,-0.156670522139193,-0.0451872456756865,-0.0666873657289052,-0.523276506205307,-0.564016756776868,-0.356425158361796,-0.497242871126742,-0.154452901009814,-0.0360970035677532,-0.211027405310314,-0.0427797124461866
"7",7,0.152952381456953,-0.160558167101143,0.204236071801129,0.318681412448752,-0.747920870092936,0.581430657462368,-0.765138654749103,0.272119954885156,-0.315541714418135,0.028767099818798,0.276091165794995,0.00304240456225691
"8",8,-0.111213130973788,-0.316725908085296,0.230913817381963,0.215916263293115,0.292252157129402,-0.609251230693435,-0.114255337288585,-0.369988219864233,-0.427020610745976,0.032434365426661,-0.0418864106838449,-0.0849624489581718
"9",9,0.043313796828687,-0.197360836937728,-0.221349556516222,-0.301836175766603,-0.026149749613829,-0.497034844383497,-0.557620265975924,-0.495435062335686,-0.168956335328663,0.152962386365245,-0.082245373704789,-0.045296710837803
"10",10,-0.157637760251257,-0.0430903410380549,-0.180629058659968,0.0164099883959812,-0.313734730212447,-0.224592786148085,-0.123513935202992,-0.284206056921141,-0.270633814863113,-0.31618906408986,0.77868177313743,-0.11131760452054
"11",11,0.226336343115725,-0.0240957664767602,-0.0895431323507207,-0.150361235841886,0.0100328420426132,-0.551020409902293,-0.572233958217602,-0.32441266802784,-0.362840058599499,0.100617271107905,-0.321421251835772,0.0320310343915059
"12",12,0.0579427357955284,0.234778459087086,0.00188635589761683,0.30766777887455,-0.25019562640816,0.211062839921376,0.203185717604811,-0.0879090362467548,0.74429435963763,-0.033838112403606,-0.00851315950585752,0.0231153758165736
"13",13,-0.127041813278396,0.339943444935824,-0.00332845936868686,0.279177128323636,-0.26567453281153,-0.069772273182594,-0.246447176504044,-0.703545636044462,0.0366452201054146,-0.128424046232054,0.0469904139770459,0.558871538016349
"14",14,-0.162991048987539,0.106995209544094,-0.0969556245700256,-0.450219940830025,-0.296999137016695,0.853508889579832,0.0597564120677252,1.02897971042852,-0.294881390605126,0.358419344114819,0.0817931335906826,0.199434709215844
"15",15,0.241302656932786,-0.168737946509948,-0.154591867677878,-0.0618674260236189,0.402118189557764,-0.655560223367824,-0.0491577833954695,-0.200559561163613,0.332564142282487,-0.0793153490532081,-0.382963739451042,-0.0866006418912516
"16",16,0.0458414968914133,-0.0161939682495535,0.0314241999066958,0.385081244539731,-0.0421857723664503,0.68430337145354,-0.146448077711002,0.107686121972121,-0.396763009311827,-0.343565959636069,0.0289565291448408,-0.118721299579226
"17",17,-0.401138686695912,-0.0249954636194734,-0.391207750477301,0.0539782426384853,-0.179303672227672,-0.147051630852414,-0.183541741391447,-0.0681035738625092,-0.0945766556336531,0.031300609504408,-0.481439284445309,-0.20392427195916
"18",18,0.0117947905010986,-0.0596750050308746,0.0743930733731461,-0.467650057920996,0.443373686438865,-0.603883063729701,-0.469437032537002,-0.143990863619191,-0.253487363219677,0.0745782466041581,0.645684683232375,-0.307954667686026
